Group 2,8:15,Round 2,,The Nightmare - Blue/White,,,,,,,,,,,Round 2,,The Nightmare - Blue/White,,,,,,,,,,
Handi:,Singles Matches,,Handi:,13,15,5,9,17,3,11,1,7,,,Handi:,16,6,18,8,12,4,10,14,2,,,
Par:,,,Par:,4,3,4,4,3,5,4,5,4,36,,Par:,4,5,3,4,3,4,4,4,5,36,72,
Hole:,Team,Tee HCP,Net HCP,1,2,3,4,5,6,7,8,9,OUT,,Hole:,10,11,12,13,14,15,16,17,18,IN,Total Gross,"Total
Net"
,,,,Blue,Blue,White,Blue,Blue,White,White,White,White,,,,Blue,Blue,Blue,White,Blue,White,Blue,White,White,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
KJ,Admin,6,0,4,4,5,4,5,4,5,7,4,42,,KJ,5,5,4,4,5,5,5,5,6,44,86,80
,,,,,,O,O,,O,,O,O,,,,,O,,O,,O,,,O,,,
,,,,0,0,1,1,0,1,0,1,1,,,,0,1,0,1,0,1,0,0,1,,,
DK,Foxes,15,9,4,5,5,6,5,6,5,6,7,49,,DK,4,5,4,4,5,7,5,6,6,46,95,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
Weezy,Admin,10,0,5,6,5,5,3,6,4,5,5,44,,Weezy,5,5,4,4,3,6,7,3,6,43,87,77
,,,,,,O,,,O,,O,O,,,,,O,,O,,O,,,O,,,
,,,,0,0,1,0,0,1,0,1,1,,,,0,1,0,1,0,1,0,0,1,,,
Carp,Foxes,18,8,5,3,6,4,4,5,6,6,8,47,,Carp,4,9,4,6,3,6,5,4,5,46,93,75
,,,,,,,,,,,,,Front,,,,,,,,,,,,,,Cup Pts
Admin Top,Top - Front,,,0,1,0,1,1,2,2,1,2,1,,Top - Overall,1,0,0,-1,-1,0,0,1,0,0.5,Top - Overall,1.5
,,,,,,,,,,,,,0,,Top - Back,-1,-2,-2,-3,-3,-2,-2,-1,-2,0,Top - Back,1.5
,,,,,,,,,,,,,Front,,,,,,,,,,,,,,Cup Pts
Admin Bottom,Bottom - Front,,,0,-1,-1,-2,-1,-2,-1,-1,0,0.5,,Bot - Overall,-1,0,0,1,1,0,-1,0,-1,0,Bot - Overall,0.5
,,,,,,,,,,,,,0.5,,Bot - Back,-1,0,0,1,1,0,-1,0,-1,0,Bot - Back,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Holes,Point
,,,,,,,,,,,,,,,,,,,,,,,,,,Won,Share
,Top - Front,,,0,1,-1,1,0,1,0,-1,1,9,,,-1,-1,0,-1,0,1,0,1,-1,9,18,
KJ,,,,0.5,1,0,1,0.5,1,0.5,0,1,5.5,,,0,0,0.5,0,0.5,1,0.5,1,0,3.5,9,1.50
DK,,,,0.5,0,1,0,0.5,0,0.5,1,0,3.5,,,1,1,0.5,1,0.5,0,0.5,0,1,5.5,9,1.50
,Bottom - Front,,,0,-1,0,-1,1,-1,1,0,1,9,,,-1,1,0,1,0,-1,-1,1,-1,9,18,
Weezy,,,,0.5,0,0.5,0,1,0,1,0.5,1,4.5,,,0,1,0.5,1,0.5,0,0,1,0,4,8.5,0.50
Carp,,,,0.5,1,0.5,1,0,1,0,0.5,0,4.5,,,1,0,0.5,0,0.5,1,1,0,1,5,9.5,2.50
,,,,2,2,2,2,2,2,2,2,2,18,,,2,2,2,2,2,2,2,2,2,18,36,
