,,,-,,,,,,,,,,,,,,,,,,,,,Hidden Rows >>,,,,Card 1,,,,,Card 2,,,,,Card 3,,,,,Card 4,,,,
,Round 1,,Match 1,,Tee Time:,12:27,,,Match 2,,Tee Time:,12:38,,,Match 3,,Tee Time:,12:49,,,Match 4,,Tee Time:,1:00,,,Game:,Title,Tm 1,Tm 2,Oper 1,Oper 2,Title,Tm 1,Tm 2,Op 1,Op 2,Title,Tm 1,Tm 2,Op 1,Op 2,Title,Tm 1,Tm 2,Op 1,Op 2
,The Loop Red - Middle,,Admin,HC,,Foxes,HC,,Admin,HC,,Foxes,HC,,Admin,HC,,Foxes,HC,,Admin,HC,,Foxes,HC,,Column # 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,2-Man Stableford,,Jensen,6,VS,Telly,7,,R-Mac,9,VS,Andy,6,,House,7,VS,Pace,10,,KJ,7,VS,CuzNick,6,,2-Man Best Ball,Match 1,Admin,Foxes,VS,,Match 2,Admin,Foxes,VS,,Match 3,Admin,Foxes,VS,,Match 4,Admin,Foxes,VS,
,"4 Points per Match - 1 Front, 1 Back, 2 Overall",,Joe O,11,,TJSC,12,,T-Mo,10,,DK,15,,Hile,13,,Carp,18,,Weezy,11,,Saugy,28,,Singles Matches,Matches 1 & 2,Admin,Foxes,VS,VS,Matches 3 & 4,Admin,Foxes,VS,VS,Matches 5 & 6,Admin,Foxes,VS,VS,Matches 7 & 8,Admin,Foxes,VS,VS
,,,-,,,,,,,,,,,,,,,,,,,,,,,,Pinehurst,Match 1,Admin,Foxes,VS,,Match 2,Admin,Foxes,VS,,Match 3,Admin,Foxes,VS,,Match 4,Admin,Foxes,VS,
,Round 2,,Matches 1 & 2,,Tee Time:,8:06,,,Matches 3 & 4,,Tee Time:,8:15,,,Matches 5 & 6,,Tee Time:,8:24,,,Matches 7 & 8,,Tee Time:,8:33,,,Team Best Ball,Group 1,Foxes,Foxes,,,Group 2,Admin,Admin,,,Group 3,Foxes,Foxes,,,Group 4,Admin,Admin,,
,The Nightmare - Blue/White,,Admin,HC,,Foxes,HC,,Admin,HC,,Foxes,HC,,Admin,HC,,Foxes,HC,,Admin,HC,,Foxes,HC,,2-Man Hi Lo,Match 1,Admin,Foxes,VS,,Match 2,Admin,Foxes,VS,,Match 3,Admin,Foxes,VS,,Match 4,Admin,Foxes,VS,
,Singles Matches,,House,7,VS,CuzNick,5,,KJ,6,VS,DK,15,,R-Mac,8,VS,Telly,6,,Jensen,5,VS,Andy,5,,Shamble,Match 1,Admin,Foxes,VS,,Match 2,Admin,Foxes,VS,,Match 3,Admin,Foxes,VS,,Match 4,Admin,Foxes,VS,
,"3 Points per Match - 1 Front, 1 Back, 1 Overall",,Hile,13,VS,Saugy,29,,Weezy,10,VS,Carp,18,,Joe O,11,VS,TJSC,12,,T-Mo,10,VS,Pace,9,,2-Man Scramble,Match 1,Admin,Foxes,VS,,Match 2,Admin,Foxes,VS,,Match 3,Admin,Foxes,VS,,Match 4,Admin,Foxes,VS,
,,,IMPORTANT NOTE FOR 2-MAN SCRAMBLE: Must put lower handicap in top spot and higher handicap in bottom spot for calculations to work correctly.,,,,,,,,,,,,,,,,,,,,,,,,2-Man Tilt,Match 1,Admin,Foxes,VS,,Match 2,Admin,Foxes,VS,,Match 3,Admin,Foxes,VS,,Match 4,Admin,Foxes,VS,
,Round 3,,Match 1,,Tee Time:,2:33,,,Match 2,,Tee Time:,2:42,,,Match 3,,Tee Time:,2:51,,,Match 4,,Tee Time:,3:00,,,2-Man Stableford,Match 1,Admin,Foxes,VS,,Match 2,Admin,Foxes,VS,,Match 3,Admin,Foxes,VS,,Match 4,Admin,Foxes,VS,
,The Dream - Blue,,Admin,HC,,Foxes,HC,,Admin,HC,,Foxes,HC,,Admin,HC,,Foxes,HC,,Admin,HC,,Foxes,HC,,,,,,,,,,,,,,,,,,,,,,
,2-Man Scramble,,R-Mac,9.8,VS,DK,16.4,,Jensen,7.2,VS,CuzNick,6.5,,House,8.3,VS,Andy,6.9,,KJ,7.6,VS,Telly,7.6,,,,,,,,,,,,,,,,,,,,,,
,"4 Points per Match - 1 Front, 1 Back, 2 Overall",,Hile,15.0,,Saugy,30.6,,Weezy,12.1,,TJSC,14.0,,Joe O,12.5,,Carp,20.1,,T-Mo,11.6,,Pace,10.9,,,,,,,,,,,,,,,,,,,,,,
,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 4,,Group 1,,Tee Time:,10:48,,,Group 2,,Tee Time:,10:59,,,Group 3,,Tee Time:,11:10,,,Group 4,,Tee Time:,11:21,,,,Card 1,,,,,Card 2,,,,,Card 3,,,,,Card 4,,,,
,Forest Dunes - ii/iii,,Foxes,HC,,Foxes,HC,,Admin,HC,,Admin,HC,,Foxes,HC,,Foxes,HC,,Admin,HC,,Admin,HC,,Full Cards:,Title,Tm 1,Tm 2,Oper 1,Oper 2,Title,Tm 1,Tm 2,Op 1,Op 2,Title,Tm 1,Tm 2,Op 1,Op 2,Title,Tm 1,Tm 2,Op 1,Op 2
,Team Best Ball,,CuzNick,8,,TJSC,16,,T-Mo,14,,Joe O,14,,Andy,8,,DK,18,,Jensen,8,,House,10,,Column # 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,"1 Pt/Hole Front, 2 Pt/Hole Back",,Telly,8,,Carp,22,,Weezy,14,,Hile,17,,Pace,13,,Saugy,35,,KJ,9,,R-Mac,11,,The Loop Red - Middle,Match 1,Jensen,Joe O,Telly,TJSC,Match 2,R-Mac,T-Mo,Andy,DK,Match 3,House,Hile,Pace,Carp,Match 4,KJ,Weezy,CuzNick,Saugy
,,,,,,,,,,,,,,,,,,,,,,,,,,,The Nightmare - Blue/White,Matches 1 & 2,House,Hile,CuzNick,Saugy,Matches 3 & 4,KJ,Weezy,DK,Carp,Matches 5 & 6,R-Mac,Joe O,Telly,TJSC,Matches 7 & 8,Jensen,T-Mo,Andy,Pace
,,,,,,,,,,,,,,,,,,,,,,,,,,,The Dream - Blue,Match 1,R-Mac,Hile,DK,Saugy,Match 2,Jensen,Weezy,CuzNick,TJSC,Match 3,House,Joe O,Andy,Carp,Match 4,KJ,T-Mo,Telly,Pace
