Group 4,2:33,Round 3,,Ravines GC - White,,,,,,,,,,,,Round 3,,Ravines GC - White,,,,,,,,,,,,,
Handi:,2-Man Tilt,9,15,13,1,3,5,17,11,7,,,,,,Handi:,4,10,16,14,2,8,18,12,6,,,,,,
Par:,,4,4,3,5,4,4,4,3,5,36,,,,,Par:,4,4,3,4,5,4,4,3,5,36,72,,,,
Hole:,,1,2,3,4,5,6,7,8,9,OUT,,,,,Hole:,10,11,12,13,14,15,16,17,18,IN,Gross,Net,,,
,,,,,,,,,,,,,Key:,,,,,,,,,,,,,,,,,Key:,
,,,,,O,O,O,,,O,,,,,,,O,,,,O,,,,O,,,,,,
,,0,0,0,1,1,1,0,0,1,,,,,,,1,0,0,0,1,0,0,0,1,,,,,,
R-Mac,7,4,4,3,8,5,6,3,3,5,41,,12,Alba,,R-Mac,7,5,3,4,5,5,4,3,4,40,81,74,,12,Alba
Drivers,Points:,2,2,2,-4,2,0,4,4,4,16,,8,Eagle,,Points:,-8,0,2,4,8,0,4,2,8,20,36,,,8,Eagle
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,O,O,O,O   O,O   O,O   O,O,O,O,,,,,,,O   O,O,O,O,O   O,O,O,O,O,,,,,,
,,1,1,1,2,2,2,1,1,1,,,,,,,2,1,1,1,2,1,1,1,1,,,,,,
Hile,23,6,6,6,7,6,7,5,4,8,55,,4,Bird,,Hile,4,5,3,4,7,4,6,4,6,43,98,75,,4,Bird
Drivers,Points:,0,0,-4,2,2,0,2,4,-4,2,,2,Par,,Points:,16,4,4,8,4,8,0,2,2,48,50,,,2,Par
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,O,O,O,,,,,,,,,,O,,,,O,,,,O,,,,,,
,,0,0,0,1,1,1,0,0,0,,,,,,,1,0,0,0,1,0,0,0,1,,,,,,
Pace,6,5,6,4,6,5,6,4,4,7,47,,0,Bogey,,Pace,5,5,3,4,6,5,4,3,7,42,89,83,,0,Bogey
Irons,Points:,0,-8,0,2,2,0,4,0,-4,-4,,-4,Dub +,,Points:,2,0,4,2,2,0,2,4,0,16,12,,,-4,Dub +
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,O   O,O,O,O   O,O   O,O   O,O,O   O,O   O,,,,,,,O   O,O   O,O,O,O   O,O   O,O,O   O,O   O,,,,,,
,,2,1,1,2,2,2,1,2,2,,,,,,,2,2,1,1,2,2,1,2,2,,,,,,
Saugy,30,5,6,6,8,6,4,6,5,7,53,,Final Margin,BC Points,,Saugy,6,5,6,7,9,7,4,4,6,54,107,77,,Final Margin,BC Points
Irons,Points:,4,0,-4,0,2,8,0,2,2,14,,0,2.0,,Points:,2,4,-8,-4,-4,0,4,8,8,10,24,,,0,2.0
,,,,,,,,,,,Front,,1-9,2.5,,,,,,,,,,,,Back,Total,Cup Pts,,1-9,2.5
Drivers,Drivers,2,2,-2,-2,4,0,6,8,0,18,,10-19,3.0,,Drivers,8,4,6,12,12,8,4,4,10,68,86,4,,10-19,3.0
Irons,Irons,4,-8,-4,2,4,8,4,2,-2,10,,20-29,3.5,,Irons,4,4,-4,-2,-2,0,6,12,8,26,36,0,,20-29,3.5
Top Team Margin (+/-),"Top Team
Margin (+/-)",-2,8,10,6,6,-2,0,6,8,8,,30+,4.0,,Margin,12,12,22,36,50,58,56,48,50,42,50,,,30+,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Hole,Holes,Point,,,
Drivers,,-1,1,1,-1,0,-1,1,1,1,,,,,,,1,0,1,1,1,1,-1,-1,1,Contr,Won,Share,,,
R-Mac,,2,10,6,0,2,0,4,4,8,,,,,,,0,0,10,8,12,0,4,2,8,8.3,4.8,1.84,,,
Hile,,0,8,0,6,2,0,2,4,0,,,,,,,24,4,12,12,8,8,0,2,2,9.7,5.7,2.16,,,
Irons,,0,8,4,4,0,0,0,0,4,,,,,,,8,0,8,4,4,0,0,0,0,,,,,,
Pace,,0,0,4,6,2,0,4,0,0,,,,,,,10,0,12,6,6,0,2,4,0,8.1,3.4,0.00,,,
Saugy,,4,8,0,4,2,8,0,2,6,,,,,,,10,4,0,0,0,0,4,8,8,9.9,4.1,0.00,,,
