Group 3,2:24,Round 3,,Ravines GC - White,,,,,,,,,,,,Round 3,,Ravines GC - White,,,,,,,,,,,,,
Handi:,2-Man Tilt,9,15,13,1,3,5,17,11,7,,,,,,Handi:,4,10,16,14,2,8,18,12,6,,,,,,
Par:,,4,4,3,5,4,4,4,3,5,36,,,,,Par:,4,4,3,4,5,4,4,3,5,36,72,,,,
Hole:,,1,2,3,4,5,6,7,8,9,OUT,,,,,Hole:,10,11,12,13,14,15,16,17,18,IN,Gross,Net,,,
,,,,,,,,,,,,,Key:,,,,,,,,,,,,,,,,,Key:,
,,,,,O,,,,,,,,,,,,,,,,O,,,,,,,,,,
,,0,0,0,1,0,0,0,0,0,,,,,,,0,0,0,0,1,0,0,0,0,,,,,,
Telly,2,5,5,3,6,5,5,4,4,5,42,,12,Alba,,Telly,4,5,3,6,7,4,5,4,5,43,85,83,,12,Alba
Drivers,Points:,0,0,2,2,0,0,2,0,2,8,,8,Eagle,,Points:,4,0,2,-4,0,2,0,0,2,6,14,,,8,Eagle
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,O,,,O,O,O,,,O,,,,,,,O,O,,,O,O,,,O,,,,,,
,,1,0,0,1,1,1,0,0,1,,,,,,,1,1,0,0,1,1,0,0,1,,,,,,
Weezy,10,5,5,3,8,6,6,4,3,4,44,,4,Bird,,Weezy,7,5,3,5,6,5,6,3,7,47,91,81,,4,Bird
Drivers,Points:,2,0,2,-4,0,0,2,2,8,12,,2,Par,,Points:,-8,2,2,0,2,2,-4,2,0,-2,10,,,2,Par
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,O,O,O,,,,,,,,,,O,,,,O,,,,,,,,,,
,,0,0,0,1,1,1,0,0,0,,,,,,,1,0,0,0,1,0,0,0,0,,,,,,
Jensen,5,6,4,5,7,6,4,5,4,5,46,,0,Bogey,,Jensen,4,4,3,4,5,4,5,3,7,39,85,80,,0,Bogey
Irons,Points:,-4,2,-4,0,0,4,0,0,2,0,,-4,Dub +,,Points:,8,4,2,2,8,4,0,2,-8,22,22,,,-4,Dub +
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,O,,O,O,O,O,,O,O,,,,,,,O,O,,O,O,O,,O,O,,,,,,
,,1,0,1,1,1,1,0,1,1,,,,,,,1,1,0,1,1,1,0,1,1,,,,,,
Carp,14,6,5,4,7,5,4,4,4,5,44,,Final Margin,BC Points,,Carp,5,6,3,4,7,6,4,3,7,45,89,75,,Final Margin,BC Points
Irons,Points:,0,0,2,0,2,4,4,2,4,18,,0,2.0,,Points:,4,0,2,4,0,0,2,4,0,16,34,,,0,2.0
,,,,,,,,,,,Front,,1-9,2.5,,,,,,,,,,,,Back,Total,Cup Pts,,1-9,2.5
Drivers,Drivers,2,0,4,-2,0,0,4,2,10,20,,10-19,3.0,,Drivers,-4,2,4,-4,2,4,-4,2,2,4,24,0,,10-19,3.0
Irons,Irons,-4,2,-2,0,2,8,4,2,6,18,,20-29,3.5,,Irons,12,4,4,6,8,4,2,6,-8,38,56,4,,20-29,3.5
Top Team Margin (+/-),"Top Team
Margin (+/-)",6,4,10,8,6,-2,-2,-2,2,2,,30+,4.0,,Margin,-14,-16,-16,-26,-32,-32,-38,-42,-32,-34,-32,,,30+,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Hole,Holes,Point,,,
Drivers,,1,-1,1,-1,-1,-1,0,0,1,,,,,,,-1,-1,0,-1,-1,0,-1,-1,1,Contr,Won,Share,,,
Telly,,4,0,6,6,0,0,2,0,2,,,,,,,12,0,2,0,0,2,4,0,10,9.4,4.0,0.00,,,
Weezy,,6,0,6,0,0,0,2,2,8,,,,,,,0,2,2,4,2,2,0,2,8,8.6,3.7,0.00,,,
Irons,,4,0,4,4,0,0,0,0,0,,,,,,,8,0,0,4,0,0,4,0,8,,,,,,
Jensen,,0,2,0,4,0,4,0,0,2,,,,,,,16,4,2,6,8,4,4,2,0,8.2,4.7,1.81,,,
Carp,,4,0,6,4,2,4,4,2,4,,,,,,,12,0,2,8,0,0,6,4,8,9.8,5.6,2.19,,,
