Column 1,2.0,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Course - Tees,Import @ A3,,,,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Out,In,Tot,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Par
GVSU Meadows - Blue,71.5,132,6361,Handicap,2,8,14,12,6,18,10,4,16,13,3,9,15,11,5,7,17,1,90,81,171,Par:,4,4,3,5,4,4,3,4,5,4,4,4,3,5,4,4,3,4,71
,,,,Par,4,4,3,5,4,4,3,4,5,4,4,4,3,5,4,4,3,4,36,35,71,,,,,,,,,,,,,,,,,,,,
Ravines GC - White,68.1,129,5919,Handicap,9,15,13,1,3,5,17,11,7,4,10,16,14,2,8,18,12,6,,,,Par:,4,4,3,5,4,4,4,3,5,4,4,3,4,5,4,4,3,5,72
,,,,Par,4,4,3,5,4,4,4,3,5,4,4,3,4,5,4,4,3,5,36,36,72,,,,,,,,,,,,,,,,,,,,
American Dunes - Freedom/WH,70.3,133,6131,Handicap,10,18,6,14,2,12,16,4,8,3,13,15,11,7,9,1,5,17,,,,Par:,4,5,4,3,4,5,3,4,4,4,4,3,5,4,3,4,4,5,72
,,,,Par,4,5,4,3,4,5,3,4,4,4,4,3,5,4,3,4,4,5,36,36,72,,,,,,,,,,,,,,,,,,,,
Lake Forest - Blue,70.5,127,6337,Handicap,3,15,5,13,7,11,9,17,1,14,6,8,16,18,10,4,12,2,,,,Par:,5,3,4,4,4,3,4,4,5,4,5,4,3,4,4,4,3,5,72
,,,,Par,5,3,4,4,4,3,4,4,5,4,5,4,3,4,4,4,3,5,36,36,72,,,,,,,,,,,,,,,,,,,,
Sundance - White,69.9,129,6136,Handicap,14,16,11,12,6,8,17,5,2,9,13,4,18,7,3,10,15,1,,,,Par:,4,4,3,4,4,5,4,3,5,4,4,4,3,5,4,5,3,4,72
,,,,Par,4,4,3,4,4,5,4,3,5,4,4,4,3,5,4,5,3,4,36,36,72,,,,,,,,,,,,,,,,,,,,
Sundance - Blue,71.4,131,6481,Handicap,14,16,11,12,6,8,17,5,2,9,13,4,18,7,3,10,15,1,,,,Par:,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
