Column 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Course - Tees,Rating,Slope,Distance,Hole Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Out,In,Tot,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
NEVEL MEADE - Gold,73,125,6844,Handicap,,,,,,,,,,,,,,,,,,,0,0,0,Par:,,,,,,,,,,,,,,,,,,
,,,,Par,,,,,,,,,,,,,,,,,,,0,0,0,Hide these once formulas are completed,,,,,,,,,,,,,,,,,,
NEVEL MEADE - Blue,70.1,124,6253,Handicap,12,8,2,18,16,14,4,10,6,13,1,3,17,7,9,11,5,15,,,,Par:,4,5,4,4,3,4,5,3,4,4,4,4,3,5,3,4,4,5
,,,,Par,4,5,4,4,3,4,5,3,4,4,4,4,3,5,3,4,4,5,36,36,72,,,,,,,,,,,,,,,,,,,
MIDLAND TRAIL - Black,72.5,124,6832,Handicap,,,,,,,,,,,,,,,,,,,,,,Par:,,,,,,,,,,,,,,,,,,
,,,,Par,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,
MIDLAND TRAIL - Blue,71.6,122,6637,Handicap,,,,,,,,,,,,,,,,,,,,,,Par:,,,,,,,,,,,,,,,,,,
,,,,Par,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,
LAKE FOREST - Green,74.2,134,7133,Handicap,,,,,,,,,,,,,,,,,,,,,,Par:,,,,,,,,,,,,,,,,,,
,,,,Par,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,
LAKE FOREST - Gold,71.8,129,6579,Handicap,,,,,,,,,,,,,,,,,,,,,,Par:,,,,,,,,,,,,,,,,,,
,,,,Par,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,
CARDINAL CLUB - Cardinal,73.4,133,6717,Handicap,,,,,,,,,,,,,,,,,,,,,,Par:,,,,,,,,,,,,,,,,,,
,,,,Par,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,
CARDINAL CLUB - ACC,70.7,129,6214,Handicap,,,,,,,,,,,,,,,,,,,,,,Par:,,,,,,,,,,,,,,,,,,
,,,,Par,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,
COVERED BRIDGE - Gold,70.9,129,6453,Handicap,17,3,15,7,1,11,13,5,9,6,16,14,4,8,12,2,18,10,,,,Par:,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,4,3,5
,,,,Par,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,4,3,5,36,36,72,,,,,,,,,,,,,,,,,,,
COVERED BRIDGE - Green,69,122,5943,Handicap,,,,,,,,,,,,,,,,,,,,,,Par:,,,,,,,,,,,,,,,,,,
,,,,Par,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,
CHAMPIONS POINTE - White,71.3,130,6484,Handicap,17,13,5,9,15,11,1,3,7,14,16,8,6,10,12,4,18,2,,,,Par:,4,3,5,3,4,5,4,4,4,4,3,5,4,4,3,5,4,4
,,,,Par,4,3,5,3,4,5,4,4,4,4,3,5,4,4,3,5,4,4,36,36,72,,,,,,,,,,,,,,,,,,,
CHAMPIONS POINTE - Gray,68.6,123,5931,Handicap,,,,,,,,,,,,,,,,,,,,,,Par:,,,,,,,,,,,,,,,,,,
,,,,Par,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,
GLENOAKS CC - Black,71.5,125,6446,Handicap,7,1,9,5,11,13,17,15,3,6,18,16,10,8,14,4,2,12,,,,Par:,4,4,3,4,4,4,5,3,5,4,4,3,5,4,4,5,4,3
,,,,Par,4,4,3,4,4,4,5,3,5,4,4,3,5,4,4,5,4,3,36,36,72,,,,,,,,,,,,,,,,,,,
GLENOAKS CC - Blue,69,124,5925,Handicap,,,,,,,,,,,,,,,,,,,,,,Par:,,,,,,,,,,,,,,,,,,
,,,,Par,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,
Katke - Crimson,71.2,134,6317,Handicap,13,1,17,5,7,15,3,9,11,4,8,16,14,2,10,18,6,12,,,,Par:,4,4,4,3,4,5,4,3,5,4,3,5,4,4,3,5,3,5
,,,,Par,4,4,4,3,4,5,4,3,5,4,3,5,4,4,3,5,3,5,36,36,72,,,,,,,,,,,,,,,,,,,
Katke - Crimson/Silver,69.7,131,6066,Handicap,13,1,17,5,7,15,3,9,11,4,8,16,14,2,10,18,6,12,,,,Par:,4,4,4,3,4,5,4,3,5,4,3,5,4,4,3,5,3,5
,,,,Par,4,4,4,3,4,5,4,3,5,4,3,5,4,4,3,5,3,5,36,36,72,,,,,,,,,,,,,,,,,,,
Tullymore - Blue,71.2,141,6214,Handicap,5,1,9,13,17,11,15,3,7,4,14,16,8,6,18,2,12,10,,,,Par:,5,4,4,3,3,4,3,5,4,4,4,3,5,4,3,5,4,5
,,,,Par,5,4,4,3,3,4,3,5,4,4,4,3,5,4,3,5,4,5,35,37,72,,,,,,,,,,,,,,,,,,,
Tullymore - Blue/White,69.6,136,5897,Handicap,5,1,9,13,17,11,15,3,7,4,14,16,8,6,18,2,12,10,,,,Par:,5,4,4,3,3,4,3,5,4,4,4,3,5,4,3,5,4,5
,,,,Par,5,4,4,3,3,4,3,5,4,4,4,3,5,4,3,5,4,5,35,37,72,,,,,,,,,,,,,,,,,,,
St. Ives - Blue,70.8,139,6294,Handicap,3,13,1,5,11,17,7,15,9,14,12,8,16,2,10,18,6,4,,,,Par:,4,3,4,5,4,4,5,3,4,4,5,4,3,4,4,3,5,4
,,,,Par,4,3,4,5,4,4,5,3,4,4,5,4,3,4,4,3,5,4,36,36,72,,,,,,,,,,,,,,,,,,,
St. Ives - Blue/White,69.4,129,5940,Handicap,3,13,1,5,11,17,7,15,9,14,12,8,16,2,10,18,6,4,,,,Par:,4,3,4,5,4,4,5,3,4,4,5,4,3,4,4,3,5,4
,,,,Par,4,3,4,5,4,4,5,3,4,4,5,4,3,4,4,3,5,4,36,36,72,,,,,,,,,,,,,,,,,,,
St. Ives - White,68.9,127,5765,Handicap,3,13,1,5,11,17,7,15,9,14,12,8,16,2,10,18,6,4,,,,Par:,4,3,4,5,4,4,5,3,4,4,5,4,3,4,4,3,5,4
,,,,Par,4,3,4,5,4,4,5,3,4,4,5,4,3,4,4,3,5,4,36,36,72,,,,,,,,,,,,,,,,,,,
HIDDEN RIVER - Blue,72.1,131,6638,Handicap,13,9,17,7,11,1,5,3,15,14,18,6,12,4,16,8,2,10,,,,Par:,4,4,3,4,5,4,5,4,3,4,5,4,3,4,3,4,5,4
,,,,Par,4,4,3,4,5,4,5,4,3,4,5,4,3,4,3,4,5,4,36,36,72,Hide these once formulas are completed,,,,,,,,,,,,,,,,,,
HIDDEN RIVER - White,69.4,125,6104,Handicap,13,9,17,7,11,1,5,3,15,14,18,6,12,4,16,8,2,10,,,,Par:,4,4,3,4,5,4,5,4,3,4,5,4,3,4,3,4,5,4
,,,,Par,4,4,3,4,5,4,5,4,3,4,5,4,3,4,3,4,5,4,36,36,72,,,,,,,,,,,,,,,,,,,
HARBOR POINT - Black,68.8,131,5881,Handicap,13,3,11,5,1,15,7,17,9,14,2,6,8,4,18,12,16,10,,,,Par:,5,4,4,3,4,4,4,4,4,5,3,5,3,5,3,4,3,4
,,,,Par,5,4,4,3,4,4,4,4,4,5,3,5,3,5,3,4,3,4,36,35,71,,,,,,,,,,,,,,,,,,,
HARBOR POINT - White,67.7,129,5676,Handicap,13,3,11,5,1,15,7,17,9,14,2,6,8,4,18,12,16,10,,,,Par:,5,4,4,3,4,4,4,4,4,5,3,5,3,5,3,4,3,4
,,,,Par,5,4,4,3,4,4,4,4,4,5,3,5,3,5,3,4,3,4,36,35,71,,,,,,,,,,,,,,,,,,,
LITTLE TRAVERSE BAY - Blue,72.8,138,6936,Handicap,5,11,17,13,9,1,15,3,7,18,12,6,10,14,2,16,8,4,,,,Par:,4,5,3,4,5,4,3,4,4,3,4,4,4,4,5,3,5,4
,,,,Par,4,5,3,4,5,4,3,4,4,3,4,4,4,4,5,3,5,4,36,36,72,,,,,,,,,,,,,,,,,,,
LITTLE TRAVERSE BAY - White,70.3,130,6422,Handicap,5,11,17,13,9,1,15,3,7,18,12,6,10,14,2,16,8,4,,,,Par:,4,5,3,4,5,4,3,4,4,3,4,4,4,4,5,3,5,4
,,,,Par,4,5,3,4,5,4,3,4,4,3,4,4,4,4,5,3,5,4,36,36,72,,,,,,,,,,,,,,,,,,,
BAY HARBOR - P/L - Blue gam,71.5,140,6400,Handicap,7,11,5,1,13,3,9,15,17,16,8,10,18,14,6,4,12,2,,,,Par:,4,4,4,5,3,4,4,4,3,4,4,4,3,4,4,5,3,4
,,,,Par,4,4,4,5,3,4,4,4,3,4,4,4,3,4,4,5,3,5,35,35,70,,,,,,,,,,,,,,,,,,,
BAY HARBOR - P/L - Gold gam,68.6,130,5776,Handicap,7,11,5,1,13,3,9,15,17,16,8,10,18,14,6,4,12,2,,,,Par:,4,4,4,5,3,4,4,4,3,4,4,4,3,4,4,5,3,4
,,,,Par,4,4,4,5,3,4,4,4,3,4,4,4,3,4,4,5,3,5,35,35,70,,,,,,,,,,,,,,,,,,,
BAY HARBOR - P/L - Purple,71.5,140,6400,Handicap,8,,,,,,,,,,,,,,,,,,,,,Par:,4,4,4,5,3,4,4,4,3,4,4,4,3,4,4,5,3,5
,,,,Par,4,4,4,5,3,4,4,4,3,4,4,4,3,4,4,5,3,5,35,36,71,,,,,,,,,,,,,,,,,,,
BAY HARBOR - P/L - Orange,70.7,139,6266,Handicap,,,,,,,,,,,,,,,,,,,,,,Par:,4,4,4,5,3,4,4,4,3,4,4,4,3,4,4,5,3,5
,,,,Par,4,4,4,5,3,4,4,4,3,4,4,4,3,4,4,5,3,5,35,36,71,,,,,,,,,,,,,,,,,,,
,,,,Handicap,,,,,,,,,,,,,,,,,,,,,,Par:,,,,,,,,,,,,,,,,,,
,,,,Par,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,
,,,,Handicap,,,,,,,,,,,,,,,,,,,,,,Par:,,,,,,,,,,,,,,,,,,
,,,,Par,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,
,,,,Handicap,,,,,,,,,,,,,,,,,,,,,,Par:,,,,,,,,,,,,,,,,,,
,,,,Par,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,
,,,,Handicap,,,,,,,,,,,,,,,,,,,,,,Par:,,,,,,,,,,,,,,,,,,
,,,,Par,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,
,,,,Handicap,,,,,,,,,,,,,,,,,,,,,,Par:,,,,,,,,,,,,,,,,,,
,,,,Par,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,
,,,,Handicap,,,,,,,,,,,,,,,,,,,,,,Par:,,,,,,,,,,,,,,,,,,
