,,,-,,,,,,,,,,,,,,,,,,,,,Hidden Cols >>,,,,Card 1,,,,,Card 2,,,,,Card 3,,,,,Card 4,,,,
,Round 1,,Match 1,,Tee Time:,1:00,,,Match 2,,Tee Time:,1:10,,,Match 3,,Tee Time:,1:20,,,Match 4,,Tee Time:,1:30,,,Game:,Title,Tm 1,Tm 2,Oper 1,Oper 2,Title,Tm 1,Tm 2,Op 1,Op 2,Title,Tm 1,Tm 2,Op 1,Op 2,Title,Tm 1,Tm 2,Op 1,Op 2
,Sundance - Blue,,WEEZ,HC,,TEES,HC,,WEEZ,HC,,TEES,HC,,WEEZ,HC,,TEES,HC,,WEEZ,HC,,TEES,HC,,Column # 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,Dirty Dozen,,Elger,5,VS,R-Mac,9,,Pace,10,VS,CuzNick,9,,Andy,6,VS,Telly,8,,Jensen,7,VS,KJ,8,,2-Man Best Ball,Match 1,WEEZ,TEES,VS,,Match 2,WEEZ,TEES,VS,,Match 3,WEEZ,TEES,VS,,Match 4,WEEZ,TEES,VS,
,"4 Points per Match - 1 Front, 1 Back, 2 Overall",,T-Mo,11,,House,10,,Weezy,17,,Saugy,33,,Joe O,14,,DK,15,,Hile,17,,TJSC,14,,Singles Matches,Matches 1 & 2,WEEZ,TEES,VS,VS,Matches 3 & 4,WEEZ,TEES,VS,VS,Matches 5 & 6,WEEZ,TEES,VS,VS,Matches 7 & 8,WEEZ,TEES,VS,VS
,,,-,,,,,,,,,,,,,,,,,,,,,,,,Pinehurst,Match 1,WEEZ,TEES,VS,,Match 2,WEEZ,TEES,VS,,Match 3,WEEZ,TEES,VS,,Match 4,WEEZ,TEES,VS,
,Round 2,,Matches 1 & 2,,Tee Time:,8:09,,,Matches 3 & 4,,Tee Time:,8:18,,,Matches 5 & 6,,Tee Time:,8:27,,,Matches 7 & 8,,Tee Time:,8:36,,,Team Best Ball,Group 1,WEEZ,WEEZ,,,Group 2,TEES,TEES,,,Group 3,WEEZ,WEEZ,,,Group 4,TEES,TEES,,
,The Wolverine - White,,WEEZ,HC,,TEES,HC,,WEEZ,HC,,TEES,HC,,WEEZ,HC,,TEES,HC,,WEEZ,HC,,TEES,HC,,2-Man Hi Lo,Match 1,WEEZ,TEES,VS,,Match 2,WEEZ,TEES,VS,,Match 3,WEEZ,TEES,VS,,Match 4,WEEZ,TEES,VS,
,Singles Matches,,Jensen,5,VS,CuzNick,7,,T-Mo,8,VS,KJ,6,,Pace,7,VS,Telly,6,,Joe O,12,VS,R-Mac,7,,Shamble,Match 1,WEEZ,TEES,VS,,Match 2,WEEZ,TEES,VS,,Match 3,WEEZ,TEES,VS,,Match 4,WEEZ,TEES,VS,
,"3 Points per Match - 1 Front, 1 Back, 1 Overall",,Elger,3,VS,House,7,,Weezy,15,VS,TJSC,11,,Andy,4,VS,DK,13,,Hile,14,VS,Saugy,31,,2-Man Scramble,Match 1,WEEZ,TEES,VS,,Match 2,WEEZ,TEES,VS,,Match 3,WEEZ,TEES,VS,,Match 4,WEEZ,TEES,VS,
,,,IMPORTANT NOTE FOR 2-MAN SCRAMBLE: Must put lower handicap in top spot and higher handicap in bottom spot for calculations to work correctly.,,,,,,,,,,,,,,,,,,,,,,,,2-Man Tilt,,,,,,,,,,,,,,,,,,,,
,Round 3,,Match 1,,Tee Time:,2:09,,,Match 2,,Tee Time:,2:18,,,Match 3,,Tee Time:,2:27,,,Match 4,,Tee Time:,2:36,,,Dirty Dozen,Match 1,WEEZ,TEES,VS,,Match 2,WEEZ,TEES,VS,,Match 3,WEEZ,TEES,VS,,Match 4,WEEZ,TEES,VS,
,The Wolverine - Blue,,WEEZ,HC,,TEES,HC,,WEEZ,HC,,TEES,HC,,WEEZ,HC,,TEES,HC,,WEEZ,HC,,TEES,HC,,,,,,,,,,,,,,,,,,,,,,
,2-Man Scramble,,Elger,6.2,VS,Telly,9.0,,Jensen,8.0,VS,R-Mac,10.1,,T-Mo,11.3,VS,House,10.5,,Hile,18.1,VS,DK,16.2,,,,,,,,,,,,,,,,,,,,,,
,"4 Points per Match - 1 Front, 1 Back, 2 Overall",,Andy,7.1,,KJ,9.2,,Pace,10.7,,CuzNick,10.3,,Joe O,15.7,,TJSC,14.5,,Weezy,18.4,,Saugy,35.2,,,,,,,,,,,,,,,,,,,,,,
,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 4,,Group 1,,Tee Time:,10:10,,,Group 2,,Tee Time:,10:20,,,Group 3,,Tee Time:,10:30,,,Group 4,,Tee Time:,10:40,,,,Card 1,,,,,Card 2,,,,,Card 3,,,,,Card 4,,,,
,The Bear - White,,WEEZ,HC,,WEEZ,HC,,TEES,HC,,TEES,HC,,WEEZ,HC,,WEEZ,HC,,TEES,HC,,TEES,HC,,Full Cards:,Title,Tm 1,Tm 2,Oper 1,Oper 2,Title,Tm 1,Tm 2,Op 1,Op 2,Title,Tm 1,Tm 2,Op 1,Op 2,Title,Tm 1,Tm 2,Op 1,Op 2
