Round 1,,,Sundance - Blue,,,,,,,,,,,,,,,,,,,,,71.4,131,,,Round 1,,,Sundance - Blue,,,,,,,,,,,,,,,,,,,,,71.4,131,,,,,,,,
,,$0 ,SK C,,,,,,,,,,,,,,,,,,,,,0,,,,,,$80 ,SK C,,,,,,,Weezy,Andy,,,,House,,T-Mo,House,,,,,,5,,,,144.00,288,,,,
,,,SK P,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CTP,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 2,,,The Wolverine - White,,,,,,,,,,,,,,,,,,,,,68.7,134,,,Round 2,,,The Wolverine - White,,,,,,,,,,,,,,,,,,,,,68.7,134,,,,,,,,
GROSS,,,Hole,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,OUT,IN,TOTAL,NET,ESC,,NET,,,Hole,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,OUT,IN,TOTAL,CHECK,,,,,,,,
,,$5,Handi,11,5,1,13,15,3,9,7,17,4,2,14,10,18,16,8,12,6,,,,,,,,,$5,Handi,11,5,1,13,15,3,9,7,17,4,2,14,10,18,16,8,12,6,,,,,,Net Pars,Match,,,,,
Player,H,SK G,Par,4,4,5,4,3,4,4,5,3,4,5,3,4,3,4,4,4,5,36,36,72,,,,Player,H,SK N,Par,4,4,5,4,3,4,4,5,3,4,5,3,4,3,4,4,4,5,36,36,72,,,or Better,Royale,Eagles+,Birdies,Pars,Bogies,Doubles+
Telly,6,,,4,5,5,4,3,4,3,5,3,5,6,4,4,3,5,4,4,4,36,39,75,69,75,,Telly,6,Y,,4,4,4,4,3,3,3,5,3,4,5,4,4,3,5,4,4,3,33,36,69,yes,,10,11.2,1.0,3.0,12.0,2.0,0.0
KJ,6,,,5,4,4,6,3,4,6,5,4,4,5,4,4,4,4,6,4,4,41,39,80,74,80,,KJ,6,Y,,5,3,3,6,3,3,6,5,4,3,4,4,4,4,4,6,4,3,38,36,74,yes,,8.5,10.0,2.0,4.0,5.0,4.0,3.0
CuzNick,7,,,4,4,7,5,3,6,4,5,3,6,6,3,4,4,5,8,4,6,41,46,87,80,87,,CuzNick,7,Y,,4,3,6,5,3,5,4,4,3,5,5,3,4,4,5,8,4,5,37,43,80,yes,,6.5,8.1,0.0,2.0,9.0,6.0,1.0
