Group 3,8:24,Round 2,,The Nightmare - Blue/White,,,,,,,,,,,Round 2,,The Nightmare - Blue/White,,,,,,,,,,
Handi:,Singles Matches,,Handi:,13,15,5,9,17,3,11,1,7,,,Handi:,16,6,18,8,12,4,10,14,2,,,
Par:,,,Par:,4,3,4,4,3,5,4,5,4,36,,Par:,4,5,3,4,3,4,4,4,5,36,72,
Hole:,Team,Tee HCP,Net HCP,1,2,3,4,5,6,7,8,9,OUT,,Hole:,10,11,12,13,14,15,16,17,18,IN,Total Gross,"Total
Net"
,,,,Blue,Blue,White,Blue,Blue,White,White,White,White,,,,Blue,Blue,Blue,White,Blue,White,Blue,White,White,,,
,,,,,,,,,,,O,,,,,,,,,,,,,O,,,
,,,,0,0,0,0,0,0,0,1,0,,,,0,0,0,0,0,0,0,0,1,,,
R-Mac,Admin,8,2,5,3,5,4,3,6,4,7,7,44,,R-Mac,5,8,3,6,5,6,5,4,5,47,91,83
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
Telly,Foxes,6,0,5,3,5,4,5,5,4,6,5,42,,Telly,4,6,3,4,3,5,4,3,4,36,78,72
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
Joe O,Admin,11,0,6,4,5,6,4,6,4,7,6,48,,Joe O,4,6,3,4,4,5,5,4,7,42,90,79
,,,,,,,,,,,O,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,1,0,,,,0,0,0,0,0,0,0,0,0,,,
TJSC,Foxes,12,1,4,5,4,3,6,5,5,7,6,45,,TJSC,5,7,4,7,4,4,5,5,7,48,93,81
,,,,,,,,,,,,,Front,,,,,,,,,,,,,,Cup Pts
Admin Top,Top - Front,,,0,0,0,0,1,0,0,0,-1,0,,Top - Overall,-2,-3,-3,-4,-5,-6,-7,-8,-8,0,Top - Overall,0
,,,,,,,,,,,,,1,,Top - Back,-1,-2,-2,-3,-4,-5,-6,-7,-7,0,Top - Back,3
,,,,,,,,,,,,,Front,,,,,,,,,,,,,,Cup Pts
Admin Bottom,Bottom - Front,,,-1,0,-1,-2,-1,-2,-1,-2,-2,0,,Bot - Overall,-1,0,1,2,2,1,1,2,2,1,Bot - Overall,2
,,,,,,,,,,,,,1,,Bot - Back,1,2,3,4,4,3,3,4,4,1,Bot - Back,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Holes,Point
,,,,,,,,,,,,,,,,,,,,,,,,,,Won,Share
,Top - Front,,,0,0,0,0,1,-1,0,0,-1,9,,,-1,-1,0,-1,-1,-1,-1,-1,0,9,18,
R-Mac,,,,0.5,0.5,0.5,0.5,1,0,0.5,0.5,0,4,,,0,0,0.5,0,0,0,0,0,0.5,1,5,0.00
Telly,,,,0.5,0.5,0.5,0.5,0,1,0.5,0.5,1,5,,,1,1,0.5,1,1,1,1,1,0.5,8,13,3.00
,Bottom - Front,,,-1,1,-1,-1,1,-1,1,-1,0,9,,,1,1,1,1,0,-1,0,1,0,9,18,
Joe O,,,,0,1,0,0,1,0,1,0,0.5,3.5,,,1,1,1,1,0.5,0,0.5,1,0.5,6.5,10,2.00
TJSC,,,,1,0,1,1,0,1,0,1,0.5,5.5,,,0,0,0,0,0.5,1,0.5,0,0.5,2.5,8,1.00
,,,,2,2,2,2,2,2,2,2,2,18,,,2,2,2,2,2,2,2,2,2,18,36,
