Group 1,8:06,Round 2,,The Nightmare - Blue/White,,,,,,,,,,,Round 2,,The Nightmare - Blue/White,,,,,,,,,,
Handi:,Singles Matches,,Handi:,13,15,5,9,17,3,11,1,7,,,Handi:,16,6,18,8,12,4,10,14,2,,,
Par:,,,Par:,4,3,4,4,3,5,4,5,4,36,,Par:,4,5,3,4,3,4,4,4,5,36,72,
Hole:,Team,Tee HCP,Net HCP,1,2,3,4,5,6,7,8,9,OUT,,Hole:,10,11,12,13,14,15,16,17,18,IN,Total Gross,"Total
Net"
,,,,Blue,Blue,White,Blue,Blue,White,White,White,White,,,,Blue,Blue,Blue,White,Blue,White,Blue,White,White,,,
,,,,,,,,,,,O,,,,,,,,,,,,,O,,,
,,,,0,0,0,0,0,0,0,1,0,,,,0,0,0,0,0,0,0,0,1,,,
House,Admin,7,2,4,3,5,8,4,5,5,7,4,45,,House,4,5,3,5,4,6,4,5,8,44,89,82
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
CuzNick,Foxes,5,0,5,5,5,4,3,6,4,5,6,43,,CuzNick,4,6,4,5,5,5,5,3,4,41,84,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
Hile,Admin,13,0,4,4,5,4,4,6,4,8,6,45,,Hile,6,6,4,5,5,6,6,5,7,50,95,82
,,,,O,O,O,O,,O,O,O,O,,,,O,O,,O,O,O,O,O,O,,,
,,,,1,1,1,1,0,1,1,1,1,,,,1,1,0,1,1,1,1,1,1,,,
Saugy,Foxes,29,16,5,5,7,6,5,6,4,8,5,51,,Saugy,7,11,4,7,4,8,4,9,6,60,111,82
,,,,,,,,,,,,,Front,,,,,,,,,,,,,,Cup Pts
Admin Top,Top - Front,,,1,2,2,1,0,1,0,-1,0,0.5,,Top - Overall,0,1,2,2,3,2,3,2,1,1,Top - Overall,2.5
,,,,,,,,,,,,,0.5,,Top - Back,0,1,2,2,3,2,3,2,1,1,Top - Back,0.5
,,,,,,,,,,,,,Front,,,,,,,,,,,,,,Cup Pts
Admin Bottom,Bottom - Front,,,0,0,1,2,3,2,1,0,-1,0,,Bot - Overall,-1,0,0,1,0,1,0,1,0,0.5,Bot - Overall,1.5
,,,,,,,,,,,,,1,,Bot - Back,0,1,1,2,1,2,1,2,1,1,Bot - Back,1.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Holes,Point
,,,,,,,,,,,,,,,,,,,,,,,,,,Won,Share
,Top - Front,,,1,1,0,-1,-1,1,-1,-1,1,9,,,0,1,1,0,1,-1,1,-1,-1,9,18,
House,,,,1,1,0.5,0,0,1,0,0,1,4.5,,,0.5,1,1,0.5,1,0,1,0,0,5,9.5,2.50
CuzNick,,,,0,0,0.5,1,1,0,1,1,0,4.5,,,0.5,0,0,0.5,0,1,0,1,1,4,8.5,0.50
,Bottom - Front,,,0,0,1,1,1,-1,-1,-1,-1,9,,,0,1,0,1,-1,1,-1,1,-1,9,18,
Hile,,,,0.5,0.5,1,1,1,0,0,0,0,4,,,0.5,1,0.5,1,0,1,0,1,0,5,9,1.50
Saugy,,,,0.5,0.5,0,0,0,1,1,1,1,5,,,0.5,0,0.5,0,1,0,1,0,1,4,9,1.50
,,,,2,2,2,2,2,2,2,2,2,18,,,2,2,2,2,2,2,2,2,2,18,36,
